id,provider,item id,license type,date,author,source page,file downloaded,notes
bench_press,pexels,32239226,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Igor Vieira,https://www.pexels.com/video/woman-bench-pressing-weights-in-gym-setting-32239226/,https://videos.pexels.com/video-files/32239226/13749268_2560_1440_24fps.mp4,
lat_pulldown,pexels,12188783,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,utopia 36,https://www.pexels.com/video/man-practicing-at-gym-12188783/,https://videos.pexels.com/video-files/12188783/12188783-hd_1920_1080_25fps.mp4,
incline_barbell_press,pexels,4920810,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Antoni Shkraba,https://www.pexels.com/video/a-man-working-out-in-the-gym-4920810/,https://videos.pexels.com/video-files/4920810/4920810-hd_1920_1080_25fps.mp4,
seated_dumbbell_press,pexels,36623781,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,JULLIAN PRODUCTION,https://www.pexels.com/video/man-lifting-dumbbells-in-home-gym-36623781/,https://videos.pexels.com/video-files/36623781/15527361_2560_1440_25fps.mp4,also serves rotating_db_press
machine_shoulder_press,pexels,39347705,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,lucas STAF,https://www.pexels.com/video/man-exercising-on-shoulder-press-machine-at-gym-39347705/,https://videos.pexels.com/video-files/39347705/16748131_2560_1440_25fps.mp4,
bulgarian_split_squat,pexels,6740157,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Mikhail Nilov,https://www.pexels.com/video/a-woman-exercising-in-the-gym-6740157/,https://videos.pexels.com/video-files/6740157/6740157-hd_1920_1080_25fps.mp4,
deadlift,pexels,7674502,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,cottonbro studio,https://www.pexels.com/video/a-woman-lifting-a-barbell-7674502/,https://videos.pexels.com/video-files/7674502/7674502-hd_2048_1080_25fps.mp4,
incline_db_press,pexels,33261217,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,JULLIAN PRODUCTION,https://www.pexels.com/video/intense-dumbbell-press-workout-in-home-gym-33261217/,https://videos.pexels.com/video-files/33261217/14170429_1920_1080_25fps.mp4,
overhead_press,pexels,4745804,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Ketut Subiyanto,https://www.pexels.com/video/man-doing-weightlifting-4745804/,https://videos.pexels.com/video-files/4745804/4745804-hd_1920_1080_25fps.mp4,
bicep_curl,pexels,6326722,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Pavel Danilyuk,https://www.pexels.com/video/man-lifting-a-dumbbells-6326722/,https://videos.pexels.com/video-files/6326722/6326722-hd_1920_1080_25fps.mp4,
tricep_pushdown,pexels,5319432,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Tima Miroshnichenko,https://www.pexels.com/video/a-man-working-out-inside-the-gym-5319432/,https://videos.pexels.com/video-files/5319432/5319432-hd_1920_1080_25fps.mp4,
close_grip_bench_press,pexels,36885361,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,JULLIAN PRODUCTION,https://www.pexels.com/video/intense-weight-training-session-in-home-gym-36885361/,https://videos.pexels.com/video-files/36885361/15625051_2560_1440_25fps.mp4,
hammer_curl,pexels,6980346,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Monstera Production,https://www.pexels.com/video/video-of-a-man-lifting-dumbbells-6980346/,https://videos.pexels.com/video-files/6980346/6980346-hd_2048_1080_30fps.mp4,
cable_curl,pexels,4367638,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Pavel Danilyuk,https://www.pexels.com/video/a-man-doing-cable-biceps-curls-4367638/,https://videos.pexels.com/video-files/4367638/4367638-hd_1920_1080_30fps.mp4,
pullup,pexels,14284164,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,Sport O'Scope (Aleksander),https://www.pexels.com/video/pull-up-bar-body-workout-14284164/,https://videos.pexels.com/video-files/14284164/14284164-hd_1920_1080_30fps.mp4,
rotating_db_press,pexels,36623781,Pexels License (free commercial use; no attribution required; no model release supplied),2026-09-16,JULLIAN PRODUCTION,https://www.pexels.com/video/man-lifting-dumbbells-in-home-gym-36623781/,(same file as seated_dumbbell_press),placeholder: rotation not verifiable in the dark source; replace with an in-house shot
